Medallas Oro,Medallas Plata,Medallas Bronce,Total Medallas,País
0.0,1.0,2.0,3,Argentina
0.0,2.0,2.0,4,Armenia
17.0,7.0,22.0,46,Australia
1.0,1.0,5.0,7,Austria
0.0,3.0,4.0,7,Azerbaijan
2.0,0.0,0.0,2,Bahamas
0.0,1.0,0.0,1,Bahrain
1.0,3.0,3.0,7,Belarus
3.0,1.0,3.0,7,Belgium
1.0,0.0,0.0,1,Bermuda
0.0,0.0,1.0,1,Botswana
7.0,6.0,8.0,21,Brazil
3.0,1.0,2.0,6,Bulgaria
0.0,0.0,1.0,1,Burkina Faso
7.0,6.0,11.0,24,Canada
2.0,4.0,6.0,12,Chinese Taipei
0.0,4.0,1.0,5,Colombia
3.0,3.0,2.0,8,Croatia
0.0,0.0,1.0,1,Cie d'Ivoire
7.0,3.0,5.0,15,Cuba
4.0,4.0,3.0,11,Czech Republic
3.0,4.0,4.0,11,Denmark
0.0,3.0,2.0,5,Dominican Republic
2.0,1.0,0.0,3,Ecuador
1.0,1.0,4.0,6,Egypt
39.0,41.0,33.0,113,Estados Unidos de America
1.0,0.0,1.0,2,Estonia
1.0,1.0,2.0,4,Ethiopia
1.0,0.0,1.0,2,Fiji
0.0,0.0,2.0,2,Finland
1.0,12.0,11.0,33,France
2.0,5.0,1.0,8,Georgia
1.0,11.0,16.0,37,Germany
0.0,0.0,1.0,1,Ghana
22.0,21.0,22.0,65,Gran Bretana
2.0,1.0,1.0,4,Greece
0.0,0.0,1.0,1,Grenada
1.0,2.0,3.0,6,"Hong Kong, China"
6.0,7.0,7.0,2,Hungary
1.0,2.0,4.0,7,India
1.0,1.0,3.0,5,Indonesia
2.0,0.0,2.0,4,Ireland
3.0,2.0,2.0,7,Islamic Republic of Iran
2.0,0.0,2.0,4,Israel
1.0,1.0,2.0,4,Italy
4.0,1.0,4.0,9,Jamaica
27.0,14.0,17.0,58,Japon
0.0,1.0,1.0,2,Jordan
0.0,0.0,8.0,8,Kazakhstan
4.0,4.0,2.0,1,Kenya
2.0,0.0,0.0,2,Kosovo
0.0,0.0,1.0,1,Kuwait
0.0,2.0,1.0,3,Kyrgyzstan
1.0,0.0,1.0,2,Latvia
0.0,1.0,0.0,1,Lithuania
0.0,1.0,1.0,2,Malaysia
0.0,0.0,4.0,4,Mexico
0.0,1.0,3.0,4,Mongolia
1.0,0.0,0.0,1,Morocco
0.0,1.0,0.0,1,Namibia
1.0,12.0,14.0,36,Netherlands
7.0,6.0,7.0,2,New Zealand
0.0,1.0,1.0,2,Nigeria
0.0,1.0,0.0,1,North Macedonia
4.0,2.0,2.0,8,Norway
1.0,2.0,1.0,4,Philippines
4.0,5.0,5.0,14,Poland
1.0,1.0,2.0,4,Portugal
1.0,0.0,0.0,1,Puerto Rico
2.0,0.0,1.0,3,Qatar
6.0,4.0,1.0,2,Republic of Korea
0.0,0.0,1.0,1,Republic of Moldova
38.0,32.0,18.0,88,Republica Popular de China
2.0,28.0,23.0,71,ROC
1.0,3.0,0.0,4,Romania
0.0,1.0,2.0,3,San Marino
0.0,1.0,0.0,1,Saudi Arabia
3.0,1.0,5.0,9,Serbia
1.0,2.0,1.0,4,Slovakia
3.0,1.0,1.0,5,Slovenia
1.0,2.0,0.0,3,South Africa
3.0,8.0,6.0,17,Spain
3.0,6.0,0.0,9,Sweden
3.0,4.0,6.0,13,Switzerland
0.0,0.0,1.0,1,Syrian Arab Republic
1.0,0.0,1.0,2,Thailand
1.0,1.0,0.0,2,Tunisia
2.0,2.0,9.0,13,Turkey
0.0,1.0,0.0,1,Turkmenistan
2.0,1.0,1.0,4,Uganda
1.0,6.0,12.0,19,Ukraine
3.0,0.0,2.0,5,Uzbekistan
1.0,3.0,0.0,4,Venezuela
